timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1730364507723,752,EnterURL_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1- Search 1-2,,true,,5664,593,4,7,null,0,5,598
1730364507394,993,EnterURL_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1- Search 1-1,,true,,5664,593,4,7,null,0,93,838
1730364507725,752,Search-01,200,,Scenario 1- Search 1-2,text,true,,5664,593,4,7,https://petstore.octoperf.com/actions/Catalog.action,749,0,598
1730364507485,993,Search-01,200,,Scenario 1- Search 1-1,text,true,,5664,593,4,7,https://petstore.octoperf.com/actions/Catalog.action,989,0,838
1730364508057,542,EnterURL_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1- Search 1-3,,true,,5664,593,2,5,null,0,1,405
1730364508058,542,Search-01,200,,Scenario 1- Search 1-3,text,true,,5664,593,2,5,https://petstore.octoperf.com/actions/Catalog.action,540,0,405
1730364507396,1118,Open URL_3,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario 3 - Add to Cart 3-1,,true,,10637,1287,1,4,null,0,93,836
1730364507485,993,Open URL-1,200,,Scenario 3 - Add to Cart 3-1,text,true,,5664,617,1,7,https://petstore.octoperf.com/actions/Catalog.action,989,0,836
1730364508481,125,Open URL-2,200,,Scenario 3 - Add to Cart 3-1,text,true,,4973,670,1,4,https://petstore.octoperf.com/actions/Catalog.action,125,0,0
1730364507278,1123,Open URL_2,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario 2- View Details 2-1,,true,,10637,1239,2,3,null,0,212,836
1730364507485,993,Open URL-02,200,,Scenario 2- View Details 2-1,text,true,,5664,593,2,7,https://petstore.octoperf.com/actions/Catalog.action,989,0,836
1730364508483,130,Open URL-03,200,,Scenario 2- View Details 2-1,text,true,,4973,646,2,3,https://petstore.octoperf.com/actions/Catalog.action,129,0,0
1730364508613,145,Select Category_2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2- View Details 2-1,,true,,3928,676,2,4,null,0,2,0
1730364508614,145,Select Category-04,200,,Scenario 2- View Details 2-1,text,true,,3928,676,2,4,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,145,0,0
1730364508760,133,Select Product_2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2- View Details 2-1,,true,,4093,712,2,4,null,0,1,0
1730364508760,133,Select Product-06,200,,Scenario 2- View Details 2-1,text,true,,4093,712,2,4,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-FW-01,133,0,0
1730364508387,507,EnterURL_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1- Search 1-4,,true,,5664,593,2,4,null,0,1,378
1730364508388,507,Search-01,200,,Scenario 1- Search 1-4,text,true,,5664,593,2,4,https://petstore.octoperf.com/actions/Catalog.action,505,0,378
1730364508267,642,Open URL_2,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario 2- View Details 2-2,,true,,10637,1239,2,3,null,0,2,377
1730364508268,501,Open URL-02,200,,Scenario 2- View Details 2-2,text,true,,5664,593,2,4,https://petstore.octoperf.com/actions/Catalog.action,500,0,377
1730364508770,141,Open URL-03,200,,Scenario 2- View Details 2-2,text,true,,4973,646,2,3,https://petstore.octoperf.com/actions/Catalog.action,128,0,0
1730364508894,125,Select Item_2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2- View Details 2-1,,true,,3794,701,2,3,null,0,1,0
1730364508895,125,Select item-07,200,,Scenario 2- View Details 2-1,text,true,,3794,701,2,3,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-4,125,0,0
1730364508912,137,Select Category_2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2- View Details 2-2,,true,,3928,676,1,3,null,0,0,0
1730364508912,137,Select Category-04,200,,Scenario 2- View Details 2-2,text,true,,3928,676,1,3,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,136,0,0
1730364509049,140,Select Product_2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2- View Details 2-2,,true,,4093,712,1,3,null,0,0,0
1730364509049,140,Select Product-06,200,,Scenario 2- View Details 2-2,text,true,,4093,712,1,3,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-FW-01,140,0,0
1730364508719,509,EnterURL_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1- Search 1-5,,true,,5664,593,2,3,null,0,3,376
1730364508721,509,Search-01,200,,Scenario 1- Search 1-5,text,true,,5664,593,2,3,https://petstore.octoperf.com/actions/Catalog.action,508,0,376
1730364509190,142,Select Item_2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2- View Details 2-2,,true,,3794,701,2,3,null,0,0,0
1730364509190,142,Select item-07,200,,Scenario 2- View Details 2-2,text,true,,3794,701,2,3,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-4,142,0,0
1730364509048,572,EnterURL_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1- Search 1-6,,true,,5664,593,2,4,null,0,2,440
1730364509049,572,Search-01,200,,Scenario 1- Search 1-6,text,true,,5664,593,2,4,https://petstore.octoperf.com/actions/Catalog.action,571,0,440
1730364509380,516,EnterURL_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1- Search 1-7,,true,,5664,593,2,4,null,0,1,377
1730364509381,516,Search-01,200,,Scenario 1- Search 1-7,text,true,,5664,593,2,4,https://petstore.octoperf.com/actions/Catalog.action,515,0,377
1730364509268,698,Open URL_2,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario 2- View Details 2-3,,true,,10637,1239,1,3,null,0,3,425
1730364509269,560,Open URL-02,200,,Scenario 2- View Details 2-3,text,true,,5664,593,1,4,https://petstore.octoperf.com/actions/Catalog.action,559,0,425
1730364509831,138,Open URL-03,200,,Scenario 2- View Details 2-3,text,true,,4973,646,1,3,https://petstore.octoperf.com/actions/Catalog.action,137,0,0
1730364509394,717,Open URL_3,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario 3 - Add to Cart 3-2,,true,,10637,1287,1,4,null,0,2,430
1730364509395,568,Open URL-1,200,,Scenario 3 - Add to Cart 3-2,text,true,,5664,617,1,3,https://petstore.octoperf.com/actions/Catalog.action,566,0,430
1730364509964,149,Open URL-2,200,,Scenario 3 - Add to Cart 3-2,text,true,,4973,670,1,4,https://petstore.octoperf.com/actions/Catalog.action,148,0,0
1730364509969,157,Select Category_2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2- View Details 2-3,,true,,3928,676,1,3,null,0,1,0
1730364509970,157,Select Category-04,200,,Scenario 2- View Details 2-3,text,true,,3928,676,1,3,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,157,0,0
1730364510127,155,Select Product_2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2- View Details 2-3,,true,,4119,712,2,4,null,0,1,0
1730364510128,155,Select Product-06,200,,Scenario 2- View Details 2-3,text,true,,4119,712,2,4,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-FW-02,155,0,0
1730364509715,635,EnterURL_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1- Search 1-8,,true,,5664,593,2,4,null,0,1,490
1730364509716,635,Search-01,200,,Scenario 1- Search 1-8,text,true,,5664,593,2,4,https://petstore.octoperf.com/actions/Catalog.action,634,0,490
1730364510283,143,Select Item_2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2- View Details 2-3,,true,,3808,702,2,4,null,0,1,0
1730364510284,143,Select item-07,200,,Scenario 2- View Details 2-3,text,true,,3808,702,2,4,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-20,143,0,0
1730364510047,548,EnterURL_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1- Search 1-9,,true,,5664,593,2,3,null,0,2,410
1730364510049,548,Search-01,200,,Scenario 1- Search 1-9,text,true,,5664,593,2,3,https://petstore.octoperf.com/actions/Catalog.action,547,0,410
1730364510376,539,EnterURL_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1- Search 1-10,,true,,5664,593,2,3,null,0,1,405
1730364510377,539,Search-01,200,,Scenario 1- Search 1-10,text,true,,5664,593,2,3,https://petstore.octoperf.com/actions/Catalog.action,538,0,405
1730364510269,696,Open URL_2,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario 2- View Details 2-4,,true,,10637,1239,1,2,null,0,2,414
1730364510270,548,Open URL-02,200,,Scenario 2- View Details 2-4,text,true,,5664,593,1,3,https://petstore.octoperf.com/actions/Catalog.action,548,0,414
1730364510819,148,Open URL-03,200,,Scenario 2- View Details 2-4,text,true,,4973,646,1,2,https://petstore.octoperf.com/actions/Catalog.action,148,0,0
1730364510968,134,Select Category_2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2- View Details 2-4,,true,,4212,676,1,3,null,0,1,0
1730364510968,134,Select Category-04,200,,Scenario 2- View Details 2-4,text,true,,4212,676,1,3,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,134,0,0
1730364511103,145,Select Product_2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2- View Details 2-4,,true,,3843,712,1,3,null,0,0,0
1730364511103,145,Select Product-06,200,,Scenario 2- View Details 2-4,text,true,,3843,712,1,3,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=K9-RT-01,145,0,0
1730364510708,584,EnterURL_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1- Search 1-11,,true,,5664,593,2,4,null,0,2,441
1730364510709,584,Search-01,200,,Scenario 1- Search 1-11,text,true,,5664,593,2,4,https://petstore.octoperf.com/actions/Catalog.action,584,0,441
1730364511249,148,Select Item_2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2- View Details 2-4,,true,,3816,702,2,5,null,0,1,0
1730364511250,148,Select item-07,200,,Scenario 2- View Details 2-4,text,true,,3816,702,2,5,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-28,147,0,0
1730364511042,518,EnterURL_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1- Search 1-12,,true,,5664,593,2,4,null,0,2,391
1730364511044,518,Search-01,200,,Scenario 1- Search 1-12,text,true,,5664,593,2,4,https://petstore.octoperf.com/actions/Catalog.action,517,0,391
1730364511266,660,Open URL_2,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario 2- View Details 2-5,,true,,10637,1239,1,4,null,0,2,390
1730364511267,518,Open URL-02,200,,Scenario 2- View Details 2-5,text,true,,5664,593,1,4,https://petstore.octoperf.com/actions/Catalog.action,517,0,390
1730364511786,142,Open URL-03,200,,Scenario 2- View Details 2-5,text,true,,4973,646,1,4,https://petstore.octoperf.com/actions/Catalog.action,141,0,0
1730364511370,591,EnterURL_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1- Search 1-13,,true,,5664,593,2,4,null,0,3,443
1730364511372,591,Search-01,200,,Scenario 1- Search 1-13,text,true,,5664,593,2,4,https://petstore.octoperf.com/actions/Catalog.action,591,0,443
